En = 72.8 ± 2.0 MeV     Proton cross sections																				
49.5	0.274	0.230	0.131	0.092	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.150
52.5	0.378	0.294	0.134	0.030	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.132
ds/dW	6.064	5.448	4.068	3.186	1.957	0.910	0.699	0.345	0.220	0.126	0.076	0.062	0.035	0.017	0.011	0.008	0.007	0.006	0.006	8.2
																				
En = 72.8 ± 2.0 MeV     Triton cross section errors																				
q (deg)	2.5*	10*	20	30	40	50	60	70	80*	90*	100*	110	120	130*	140*	150*	160*	170*	177.5*	
E (MeV)																				ds/dE
16.5	0.017	0.016	0.014	0.014	0.008	0.012	0.004	0.003	0.002	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.049
19.5	0.015	0.014	0.006	0.009	0.010	0.010	0.001	0.005	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.040
22.5	0.017	0.017	0.007	0.015	0.007	0.007	0.003	0.005	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.041
25.5	0.021	0.020	0.008	0.014	0.005	0.007	0.003	0.005	0.001	0.001	0.000	0.001	0.001	0.001	0.001	---	---	---	---	0.039
28.5	0.018	0.017	0.007	0.017	0.005	0.008	0.003	0.005	0.001	0.001	0.001	0.001	0.001	0.001	---	---	---	---	---	0.039
31.5	0.012	0.012	0.006	0.012	0.004	0.006	0.003	0.004	0.001	0.001	0.001	0.001	---	---	---	---	---	---	---	0.031
34.5	0.011	0.011	0.005	0.013	0.004	0.005	0.002	0.004	0.001	0.001	0.001	---	---	---	---	---	---	---	---	0.028
37.5	0.014	0.013	0.006	0.013	0.004	0.005	0.002	0.003	0.001	---	---	---	---	---	---	---	---	---	---	0.025
40.5	0.014	0.013	0.006	0.010	0.004	0.005	0.002	---	---	---	---	---	---	---	---	---	---	---	---	0.020
43.5	0.018	0.017	0.006	0.012	0.004	0.004	0.001	---	---	---	---	---	---	---	---	---	---	---	---	0.019
46.5	0.020	0.018	0.006	0.010	0.003	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.014
49.5	0.036	0.030	0.007	0.013	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.016
52.5	0.049	0.038	0.007	0.007	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.015
ds/dW	0.788	0.708	0.273	0.480	0.175	0.209	0.072	0.107	0.032	0.019	0.015	0.019	0.011	0.015	0.012	0.009	0.009	0.009	0.009	1.1
																				
																				
En = 72.8 ± 2.0 MeV     Alpha cross sections																				
q (deg)	2.5*	10*	20	30	40	50	60	70	80*	90*	100*	110	120	130*	140	150*	160	170*	177.5*	
E (MeV)																				ds/dE
10.5	0.812	0.767	0.568	0.812	0.317	0.192	0.102	0.057	0.029	0.014	0.007	0.004	0.002	0.001	0.001	0.001	0.001	0.001	0.001	1.43
13.5	0.924	0.858	0.766	0.933	0.197	0.228	0.394	0.017	0.013	0.005	0.002	0.019	0.022	0.001	0.001	0.001	0.006	0.001	0.001	1.77
16.5	1.254	1.188	0.856	0.838	0.493	0.342	0.334	0.171	0.053	0.027	0.014	0.003	0.013	0.002	0.010	0.001	0.002	0.001	0.001	2.29
19.5	0.868	0.825	0.631	0.568	0.424	0.201	0.178	0.067	0.043	0.023	0.012	0.004	0.004	0.002	0.002	0.001	0.001	0.001	0.001	1.53
22.5	0.572	0.544	0.386	0.430	0.299	0.143	0.128	0.073	0.032	0.017	0.010	0.002	0.003	0.002	0.001	0.001	---	---	---	1.10
25.5	0.401	0.380	0.289	0.315	0.166	0.124	0.079	0.022	0.019	0.010	0.005	0.002	0.003	0.001	---	---	---	---	---	0.73
28.5	0.309	0.290	0.224	0.296	0.100	0.039	0.044	0.007	0.008	0.004	0.002	0.001	---	---	---	---	---	---	---	0.48
31.5	0.270	0.251	0.200	0.208	0.062	0.053	0.026	0.006	0.004	0.002	0.001	---	---	---	---	---	---	---	---	0.37
34.5	0.244	0.221	0.166	0.137	0.032	0.039	0.014	0.003	0.001	---	---	---	---	---	---	---	---	---	---	0.26
37.5	0.177	0.162	0.122	0.096	0.035	0.020	0.010	0.001	0.001	---	---	---	---	---	---	---	---	---	---	0.19
40.5	0.191	0.171	0.117	0.111	0.028	0.004	0.006	0.003	---	---	---	---	---	---	---	---	---	---	---	0.17
43.5	0.195	0.174	0.120	0.119	0.028	0.008	0.006	0.001	---	---	---	---	---	---	---	---	---	---	---	0.18
46.5	0.183	0.161	0.103	0.081	0.020	0.018	0.001	---	---	---	---	---	---	---	---	---	---	---	---	0.15
49.5	0.165	0.143	0.088	0.081	0.015	0.003	0.001	---	---	---	---	---	---	---	---	---	---	---	---	0.12
52.5	0.144	0.123	0.074	0.039	0.010	0.006	---	---	---	---	---	---	---	---	---	---	---	---	---	0.09
55.5	0.231	0.172	0.067	0.032	0.001	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.08
58.5	0.029	0.026	0.019	0.012	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.02
ds/dW	20.91	19.36	14.39	15.33	6.68	4.26	3.97	1.29	0.60	0.31	0.16	0.10	0.14	0.03	0.05	0.01	0.03	0.01	0.01	32.9
																				
En = 72.8 ± 2.0 MeV     Alpha cross section errors																				
q (deg)	2.5*	10*	20	30	40	50	60	70	80*	90*	100*	110	120	130*	140	150*	160	170*	177.5*	
E (MeV)																				ds/dE
10.5	0.219	0.207	0.292	0.501	0.085	0.052	0.079	0.015	0.008	0.004	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.64
13.5	0.250	0.232	0.223	0.302	0.062	0.094	0.131	0.021	0.003	0.001	0.001	0.010	0.011	0.001	0.001	0.001	0.003	0.001	0.001	0.60
16.5	0.339	0.321	0.168	0.185	0.100	0.092	0.071	0.060	0.014	0.007	0.004	0.002	0.005	0.001	0.004	0.001	0.001	0.001	0.001	0.55
19.5	0.234	0.223	0.093	0.099	0.065	0.050	0.030	0.028	0.012	0.006	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.31
22.5	0.154	0.147	0.046	0.064	0.038	0.034	0.018	0.024	0.009	0.005	0.003	0.002	0.002	0.000	0.001	0.001	---	---	---	0.21
25.5	0.108	0.103	0.030	0.044	0.020	0.028	0.011	0.012	0.005	0.003	0.001	0.001	0.002	0.000	---	---	---	---	---	0.13
28.5	0.083	0.078	0.020	0.037	0.013	0.014	0.006	0.006	0.002	0.001	0.001	0.001	---	---	---	---	---	---	---	0.08
31.5	0.073	0.068	0.009	0.027	0.009	0.014	0.004	0.005	0.001	0.001	0.001	---	---	---	---	---	---	---	---	0.06
34.5	0.066	0.060	0.008	0.019	0.007	0.012	0.003	0.003	0.001	---	---	---	---	---	---	---	---	---	---	0.05
37.5	0.048	0.044	0.007	0.015	0.004	0.008	0.002	0.002	0.001	---	---	---	---	---	---	---	---	---	---	0.04
